compra_venta,cantidad,precio,ofertada_casada
C,0.9,180.30,O
C,3.5,180.30,O
C,1.7,180.30,O
C,3.6,180.30,O
C,27.7,180.30,O
C,6.3,180.30,O
C,40.3,180.30,O
C,2694.8,180.30,O
C,212.2,180.30,O
C,1432.2,180.30,O
C,56.1,180.30,O
C,0.7,180.30,O
C,2.8,180.30,O
C,66.0,180.30,O
C,262.2,180.30,O
C,1147.7,180.30,O
C,14.8,180.30,O
C,2605.2,180.30,O
C,31.0,180.30,O
C,1413.5,180.30,O
C,3.5,180.30,O
C,1.1,180.30,O
C,0.1,180.30,O
C,4.5,180.30,O
C,1.2,180.30,O
C,9.3,180.30,O
C,8.0,180.30,O
C,164.7,180.30,O
C,72.7,180.30,O
C,4.0,180.30,O
C,12.9,180.30,O
C,33.4,180.30,O
C,284.4,180.00,O
C,0.5,180.00,O
C,0.1,180.00,O
C,31.3,180.00,O
C,1.3,180.00,O
C,0.3,180.00,O
C,4.6,180.00,O
C,23.6,180.00,O
C,7.7,180.00,O
C,1.0,180.00,O
C,1.2,180.00,O
C,7.5,150.00,O
C,17.8,150.00,O
C,0.3,150.00,O
C,12.8,150.00,O
C,0.7,140.00,O
C,21.9,140.00,O
C,2.3,130.00,O
C,21.3,129.56,O
C,0.8,129.56,O
C,0.9,129.56,O
C,0.4,129.56,O
C,2.1,129.56,O
C,2.7,129.56,O
C,0.7,129.56,O
C,0.6,129.56,O
C,0.3,129.56,O
C,2.7,129.56,O
C,2.4,129.56,O
C,179.2,129.56,O
C,0.1,129.56,O
C,5.3,120.00,O
C,1.0,120.00,O
C,4.2,120.00,O
C,0.5,120.00,O
C,0.3,120.00,O
C,2.6,120.00,O
C,0.8,120.00,O
C,2.9,120.00,O
C,0.8,120.00,O
C,3.8,120.00,O
C,8.5,120.00,O
C,11.3,120.00,O
C,2.6,120.00,O
C,4.4,120.00,O
C,2.2,110.00,O
C,6.5,110.00,O
C,0.9,105.00,O
C,10.2,105.00,O
C,330.5,103.54,O
C,9.4,103.11,O
C,1.8,100.00,O
C,14.0,100.00,O
C,0.5,100.00,O
C,0.1,100.00,O
C,0.4,100.00,O
C,0.8,100.00,O
C,0.4,100.00,O
C,0.7,100.00,O
C,68.7,100.00,O
C,0.3,100.00,O
C,2.9,100.00,O
C,7.6,100.00,O
C,63.1,100.00,O
C,0.5,100.00,O
C,2.9,100.00,O
C,8.2,100.00,O
C,1.2,100.00,O
C,2.1,100.00,O
C,0.4,100.00,O
C,0.6,100.00,O
C,0.9,100.00,O
C,1.1,100.00,O
C,0.2,100.00,O
C,1.1,100.00,O
C,1.5,100.00,O
C,24.1,100.00,O
C,11.8,100.00,O
C,0.1,100.00,O
C,0.7,100.00,O
C,2.0,100.00,O
C,4.9,100.00,O
C,4.0,100.00,O
C,4.5,100.00,O
C,11.8,100.00,O
C,0.5,100.00,O
C,3.9,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,1.3,100.00,O
C,25.3,100.00,O
C,440.0,100.00,O
C,229.1,100.00,O
C,0.3,100.00,O
C,0.1,100.00,O
C,1.9,100.00,O
C,0.4,95.18,O
C,88.5,95.17,O
C,48.1,92.00,O
C,80.1,92.00,O
C,2.2,90.01,O
C,3.8,90.01,O
C,6.3,90.01,O
C,7.7,90.00,O
C,7.3,90.00,O
C,4.2,90.00,O
C,313.5,90.00,O
C,12.0,90.00,O
C,11.8,90.00,O
C,2.7,90.00,O
C,1.5,90.00,O
C,3.1,90.00,O
C,35.6,90.00,O
C,2.2,90.00,O
C,19.2,90.00,O
C,0.2,90.00,O
C,38.7,90.00,O
C,11.7,90.00,O
C,1.0,90.00,O
C,12.1,90.00,O
C,52.0,90.00,O
C,11.1,90.00,O
C,2.0,90.00,O
C,0.6,90.00,O
C,0.2,87.09,O
C,54.5,87.07,O
C,2.0,85.00,O
C,0.1,85.00,O
C,3.1,85.00,O
C,3.7,85.00,O
C,10.3,85.00,O
C,2.7,85.00,O
C,1.2,85.00,O
C,5.0,85.00,O
C,0.1,85.00,O
C,1.7,85.00,O
C,2.7,85.00,O
C,0.4,85.00,O
C,50.0,84.74,O
C,7.0,82.00,O
C,407.8,82.00,O
C,26.1,82.00,O
C,2.4,80.01,O
C,0.3,80.01,O
C,1.5,80.01,O
C,7.8,80.01,O
C,0.3,80.01,O
C,1.7,80.01,O
C,0.6,80.01,O
C,6.3,80.01,O
C,1.4,80.01,O
C,17.4,80.01,O
C,0.9,80.00,O
C,3.7,80.00,O
C,0.5,80.00,O
C,0.9,80.00,O
C,2.2,80.00,O
C,13.1,80.00,O
C,0.7,80.00,O
C,0.3,80.00,O
C,8.3,80.00,O
C,0.4,80.00,O
C,0.4,80.00,O
C,29.3,80.00,O
C,2.7,80.00,O
C,1.7,80.00,O
C,0.2,80.00,O
C,0.2,80.00,O
C,0.8,80.00,O
C,0.3,80.00,O
C,1.1,80.00,O
C,0.3,80.00,O
C,0.9,80.00,O
C,4.1,80.00,O
C,3.4,80.00,O
C,1.5,80.00,O
C,4.3,80.00,O
C,0.4,80.00,O
C,4.1,80.00,O
C,0.2,80.00,O
C,1.0,80.00,O
C,1.3,80.00,O
C,1.6,80.00,O
C,0.7,80.00,O
C,1.0,80.00,O
C,3.7,80.00,O
C,0.5,80.00,O
C,0.7,80.00,O
C,2.0,80.00,O
C,2.6,80.00,O
C,18.5,80.00,O
C,3.5,80.00,O
C,0.6,80.00,O
C,0.4,80.00,O
C,0.5,80.00,O
C,1.8,80.00,O
C,2.8,80.00,O
C,0.1,80.00,O
C,0.1,80.00,O
C,4.2,80.00,O
C,48.8,80.00,O
C,407.9,80.00,O
C,0.1,80.00,O
C,0.1,80.00,O
C,1.2,80.00,O
C,0.1,80.00,O
C,40.0,79.74,O
C,0.1,78.00,O
C,20.6,78.00,O
C,15.3,75.00,O
C,7.4,75.00,O
C,7.6,75.00,O
C,0.1,75.00,O
C,0.3,75.00,O
C,0.1,75.00,O
C,1.1,75.00,O
C,0.7,75.00,O
C,0.2,75.00,O
C,0.5,75.00,O
C,0.2,75.00,O
C,0.2,75.00,O
C,16.5,75.00,O
C,5.8,75.00,O
C,5.6,75.00,O
C,1.3,75.00,O
C,30.0,74.74,O
C,0.1,73.00,O
C,3.3,70.00,O
C,0.2,70.00,O
C,1.5,70.00,O
C,3.0,70.00,O
C,8.0,70.00,O
C,0.5,70.00,O
C,1.1,70.00,O
C,0.1,70.00,O
C,0.1,70.00,O
C,0.6,70.00,O
C,3.4,70.00,O
C,2.0,70.00,O
C,0.1,70.00,O
C,0.6,70.00,O
C,2.9,70.00,O
C,0.5,70.00,O
C,0.1,70.00,O
C,7.8,70.00,O
C,16.0,70.00,O
C,0.9,70.00,O
C,4.3,70.00,O
C,4.5,70.00,O
C,0.7,70.00,O
C,1.0,70.00,O
C,8.9,70.00,O
C,11.2,70.00,O
C,0.3,70.00,O
C,0.3,70.00,O
C,10.7,70.00,O
C,2.1,70.00,O
C,0.1,70.00,O
C,10.3,70.00,O
C,9.1,70.00,O
C,0.5,70.00,O
C,57.9,70.00,O
C,13.7,70.00,O
C,58.5,70.00,O
C,44.4,70.00,O
C,5.6,70.00,O
C,3.3,70.00,O
C,3.4,70.00,O
C,0.6,70.00,O
C,6.7,70.00,O
C,14.3,70.00,O
C,0.8,70.00,O
C,18.9,70.00,O
C,10.1,70.00,O
C,10.1,70.00,O
C,2.4,70.00,O
C,3.0,70.00,O
C,6.3,70.00,O
C,1.2,70.00,O
C,0.1,70.00,O
