,imports
2014-01-01 00:00:00,1124.216
2014-01-01 01:00:00,765.627
2014-01-01 02:00:00,755.5360000000002
2014-01-01 03:00:00,650.444
2014-01-01 04:00:00,624.6
2014-01-01 05:00:00,771.424
2014-01-01 06:00:00,929.14
2014-01-01 07:00:00,1111.66
2014-01-01 08:00:00,1117.4160000000004
2014-01-01 09:00:00,1324.604
2014-01-01 10:00:00,1393.152
2014-01-01 11:00:00,1245.728
2014-01-01 12:00:00,1416.2669999999998
2014-01-01 13:00:00,1108.442
2014-01-01 14:00:00,1312.352
2014-01-01 15:00:00,1315.804
2014-01-01 16:00:00,1483.371
2014-01-01 17:00:00,1507.544
2014-01-01 18:00:00,1859.03
2014-01-01 19:00:00,1825.689
2014-01-01 20:00:00,2158.581
2014-01-01 21:00:00,2691.62
2014-01-01 22:00:00,2507.9629999999997
2014-01-01 23:00:00,2046.3160000000003
2014-01-02 00:00:00,1152.795
2014-01-02 01:00:00,966.267
2014-01-02 02:00:00,882.6080000000002
2014-01-02 03:00:00,765.4109999999998
2014-01-02 04:00:00,667.8480000000002
2014-01-02 05:00:00,668.916
2014-01-02 06:00:00,861.6310000000002
2014-01-02 07:00:00,1107.136
2014-01-02 08:00:00,1573.2379999999996
2014-01-02 09:00:00,1812.5839999999998
2014-01-02 10:00:00,2260.665
2014-01-02 11:00:00,2367.774
2014-01-02 12:00:00,2637.4559999999997
2014-01-02 13:00:00,2519.044
2014-01-02 14:00:00,2390.057
2014-01-02 15:00:00,2256.747
2014-01-02 16:00:00,2210.311
2014-01-02 17:00:00,2313.9120000000003
2014-01-02 18:00:00,2347.522
2014-01-02 19:00:00,2477.187
2014-01-02 20:00:00,2704.71
2014-01-02 21:00:00,3067.413
2014-01-02 22:00:00,2272.16
2014-01-02 23:00:00,1703.509
2014-01-03 00:00:00,1373.753
2014-01-03 01:00:00,1002.888
2014-01-03 02:00:00,971.388
2014-01-03 03:00:00,1106.372
2014-01-03 04:00:00,1143.391
2014-01-03 05:00:00,1096.94
2014-01-03 06:00:00,962.594
2014-01-03 07:00:00,1661.196
2014-01-03 08:00:00,1741.173
2014-01-03 09:00:00,2485.824
2014-01-03 10:00:00,2303.365
2014-01-03 11:00:00,2277.389
2014-01-03 12:00:00,2342.409
2014-01-03 13:00:00,2300.366
2014-01-03 14:00:00,2181.091
2014-01-03 15:00:00,2247.062
2014-01-03 16:00:00,2517.547
2014-01-03 17:00:00,2713.993
2014-01-03 18:00:00,2967.4239999999995
2014-01-03 19:00:00,2866.107
2014-01-03 20:00:00,3082.971
2014-01-03 21:00:00,3434.576
2014-01-03 22:00:00,3240.635000000001
2014-01-03 23:00:00,3363.451
2014-01-04 00:00:00,2797.431
2014-01-04 01:00:00,2122.5930000000003
2014-01-04 02:00:00,1818.935
2014-01-04 03:00:00,1883.495
