compra_venta,cantidad,precio,ofertada_casada
C,4.6,180.30,O
C,32.7,180.30,O
C,1.6,180.30,O
C,3.6,180.30,O
C,3.5,180.30,O
C,38.9,180.30,O
C,12.9,180.30,O
C,4.0,180.30,O
C,73.3,180.30,O
C,195.5,180.30,O
C,8.2,180.30,O
C,1534.2,180.30,O
C,10.7,180.30,O
C,0.1,180.30,O
C,8.1,180.30,O
C,1.9,180.30,O
C,1.8,180.30,O
C,2.7,180.30,O
C,0.1,180.30,O
C,0.4,180.30,O
C,2.3,180.30,O
C,1.8,180.30,O
C,9.8,180.30,O
C,3.1,180.30,O
C,0.6,180.30,O
C,1.1,180.30,O
C,188.8,180.30,O
C,5.2,180.30,O
C,1.1,180.30,O
C,1312.2,180.30,O
C,812.4,180.30,O
C,40.0,180.30,O
C,2435.4,180.30,O
C,2.4,180.30,O
C,13.8,180.30,O
C,1.1,180.30,O
C,53.5,180.30,O
C,154.9,180.30,O
C,80.4,180.30,O
C,1064.6,180.30,O
C,819.8,180.30,O
C,5518.8,180.30,O
C,72.2,180.30,O
C,9.2,180.30,O
C,289.7,180.30,O
C,2215.4,180.30,O
C,250.4,180.30,O
C,2715.6,180.30,O
C,22.7,180.30,O
C,49.3,180.30,O
C,46.5,180.30,O
C,342.9,180.30,O
C,6.0,180.30,O
C,25.5,180.30,O
C,7.1,180.00,O
C,3.4,180.00,O
C,186.8,180.00,O
C,1.3,180.00,O
C,1.9,180.00,O
C,0.3,180.00,O
C,23.4,180.00,O
C,0.2,180.00,O
C,1.0,180.00,O
C,7.2,180.00,O
C,31.7,180.00,O
C,13.7,150.00,O
C,25.1,150.00,O
C,0.4,150.00,O
C,7.4,150.00,O
C,0.8,140.00,O
C,20.6,140.00,O
C,3.1,130.00,O
C,9.5,121.27,O
C,5.6,120.00,O
C,0.2,120.00,O
C,0.3,120.00,O
C,4.1,120.00,O
C,9.1,120.00,O
C,0.2,120.00,O
C,13.1,120.00,O
C,0.9,120.00,O
C,6.9,110.00,O
C,46.8,110.00,O
C,11.7,110.00,O
C,2.2,110.00,O
C,215.2,105.02,O
C,398.9,105.02,O
C,0.8,105.00,O
C,9.1,105.00,O
C,50.0,104.02,O
C,14.6,100.00,O
C,1.0,100.00,O
C,5.0,100.00,O
C,0.5,100.00,O
C,0.4,100.00,O
C,0.1,100.00,O
C,0.6,100.00,O
C,8.4,100.00,O
C,3.2,100.00,O
C,2.1,100.00,O
C,1.1,100.00,O
C,0.9,100.00,O
C,0.2,100.00,O
C,1.0,100.00,O
C,1.3,100.00,O
C,4.2,100.00,O
C,10.8,100.00,O
C,4.6,100.00,O
C,0.5,100.00,O
C,11.8,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.9,100.00,O
C,4.4,100.00,O
C,0.1,100.00,O
C,0.4,100.00,O
C,0.1,100.00,O
C,1.9,100.00,O
C,23.5,100.00,O
C,0.5,100.00,O
C,3.3,100.00,O
C,8.6,100.00,O
C,77.3,100.00,O
C,231.2,100.00,O
C,104.0,100.00,O
C,0.3,100.00,O
C,460.0,100.00,O
C,29.1,100.00,O
C,1.8,100.00,O
C,16.6,100.00,O
C,1.4,100.00,O
C,4.2,100.00,O
C,0.5,100.00,O
C,0.6,100.00,O
C,0.1,100.00,O
C,0.6,100.00,O
C,0.5,100.00,O
C,0.5,100.00,O
C,61.0,100.00,O
C,0.3,100.00,O
C,1.4,100.00,O
C,1.4,100.00,O
C,40.0,99.02,O
C,2.8,99.00,O
C,1.1,99.00,O
C,30.0,94.02,O
C,0.4,92.75,O
