compra_venta,cantidad,precio,ofertada_casada
C,757.0,180.30,O
C,3.5,180.30,O
C,3.5,180.30,O
C,1.5,180.30,O
C,335.8,180.30,O
C,46.6,180.30,O
C,43.0,180.30,O
C,24.7,180.30,O
C,27.3,180.30,O
C,6.0,180.30,O
C,4.7,180.30,O
C,2648.8,180.30,O
C,200.9,180.30,O
C,2218.0,180.30,O
C,302.6,180.30,O
C,0.1,180.30,O
C,34.8,180.30,O
C,12.1,180.30,O
C,4.0,180.30,O
C,1900.2,180.30,O
C,73.6,180.30,O
C,206.5,180.30,O
C,1290.3,180.30,O
C,1.1,180.30,O
C,7.5,180.30,O
C,9.7,180.30,O
C,1387.8,180.30,O
C,3.4,180.30,O
C,0.1,180.30,O
C,2.3,180.30,O
C,8.2,180.30,O
C,1.1,180.30,O
C,76.8,180.30,O
C,141.5,180.30,O
C,0.8,180.30,O
C,49.8,180.30,O
C,13.7,180.30,O
C,1057.8,180.30,O
C,760.6,180.30,O
C,64.1,180.30,O
C,4990.2,180.30,O
C,6.7,180.00,O
C,0.7,180.00,O
C,1.2,180.00,O
C,1.8,180.00,O
C,29.1,180.00,O
C,138.0,180.00,O
C,0.3,180.00,O
C,7.1,180.00,O
C,1.0,180.00,O
C,0.2,180.00,O
C,22.2,180.00,O
C,17.3,150.00,O
C,12.5,150.00,O
C,0.3,150.00,O
C,7.2,150.00,O
C,20.0,140.00,O
C,0.7,140.00,O
C,3.0,130.00,O
C,5.4,120.00,O
C,0.2,120.00,O
C,0.3,120.00,O
C,3.8,120.00,O
C,8.5,120.00,O
C,0.2,120.00,O
C,11.7,120.00,O
C,0.8,120.00,O
C,1.0,116.68,O
C,0.1,116.68,O
C,2.7,116.68,O
C,1.8,116.68,O
C,0.1,116.68,O
C,1.0,116.68,O
C,0.5,116.68,O
C,9.9,116.68,O
C,2.8,116.68,O
C,0.2,116.68,O
C,218.5,116.68,O
C,0.1,116.68,O
C,2.2,110.00,O
C,6.3,110.00,O
C,36.2,110.00,O
C,9.6,110.00,O
C,8.4,105.00,O
C,0.7,105.00,O
C,1.0,100.00,O
C,1.3,100.00,O
C,0.1,100.00,O
C,0.5,100.00,O
C,3.9,100.00,O
C,10.0,100.00,O
C,4.1,100.00,O
C,0.6,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.6,100.00,O
C,4.1,100.00,O
C,0.1,100.00,O
C,0.4,100.00,O
C,0.1,100.00,O
C,1.9,100.00,O
C,213.6,100.00,O
C,23.6,100.00,O
C,1.7,100.00,O
C,15.1,100.00,O
C,1.2,100.00,O
C,3.2,100.00,O
C,415.0,100.00,O
C,0.3,100.00,O
C,100.6,100.00,O
C,31.8,100.00,O
C,0.4,100.00,O
C,0.6,100.00,O
C,0.4,100.00,O
C,0.6,100.00,O
C,0.5,100.00,O
C,59.2,100.00,O
C,12.8,100.00,O
C,0.5,100.00,O
C,4.0,100.00,O
C,7.2,100.00,O
C,63.6,100.00,O
C,11.5,100.00,O
C,2.9,100.00,O
C,8.3,100.00,O
C,1.2,100.00,O
C,1.9,100.00,O
C,22.7,100.00,O
C,0.3,100.00,O
C,0.5,100.00,O
C,0.8,100.00,O
C,0.6,100.00,O
C,0.9,100.00,O
C,0.2,100.00,O
C,1.2,100.00,O
C,4.3,100.00,O
C,2.8,99.00,O
C,0.9,99.00,O
C,0.4,95.97,O
