compra_venta,cantidad,precio,ofertada_casada
C,1278.8,180.30,O
C,18.9,180.30,O
C,45.6,180.30,O
C,2.0,180.30,O
C,35.8,180.30,O
C,8.5,180.30,O
C,183.0,180.30,O
C,28.0,180.30,O
C,10.7,180.30,O
C,1.6,180.30,O
C,2.0,180.30,O
C,1.5,180.30,O
C,1.1,180.30,O
C,0.4,180.30,O
C,0.1,180.30,O
C,0.1,180.30,O
C,0.7,180.30,O
C,0.2,180.30,O
C,2.6,180.30,O
C,15.7,180.30,O
C,126.0,180.30,O
C,0.9,180.30,O
C,6.5,180.30,O
C,5.0,180.30,O
C,40.7,180.30,O
C,132.7,180.30,O
C,1387.2,180.30,O
C,620.6,180.30,O
C,1655.8,180.30,O
C,0.1,180.30,O
C,85.5,180.30,O
C,1885.2,180.30,O
C,563.5,180.30,O
C,944.1,180.30,O
C,32.0,180.30,O
C,0.1,180.30,O
C,388.6,180.30,O
C,2559.8,180.30,O
C,40.5,180.30,O
C,172.9,180.30,O
C,40.5,180.30,O
C,250.0,180.30,O
C,2897.2,180.30,O
C,22.2,180.30,O
C,29.5,180.30,O
C,25.0,180.30,O
C,6.5,180.30,O
C,4.1,180.30,O
C,19.4,180.30,O
C,307.2,180.30,O
C,29.7,180.30,O
C,2.0,180.30,O
C,0.6,180.30,O
C,1.3,180.30,O
C,0.6,180.30,O
C,2.2,180.00,O
C,0.8,180.00,O
C,0.1,180.00,O
C,0.3,180.00,O
C,82.4,180.00,O
C,0.5,180.00,O
C,46.3,180.00,O
C,0.3,150.00,O
C,6.8,150.00,O
C,8.8,150.00,O
C,25.3,150.00,O
C,24.2,140.00,O
C,2.5,130.00,O
C,5.2,130.00,O
C,6.0,120.00,O
C,4.7,120.00,O
C,10.3,120.00,O
C,12.0,120.00,O
C,0.1,120.00,O
C,0.2,120.00,O
C,0.1,120.00,O
C,1.0,115.00,O
C,89.7,108.16,O
C,14.5,108.16,O
C,11.1,105.00,O
C,1.0,105.00,O
C,0.6,100.00,O
C,1.3,100.00,O
C,0.7,100.00,O
C,4.5,100.00,O
C,0.1,100.00,O
C,0.8,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.6,100.00,O
C,0.1,100.00,O
C,0.5,100.00,O
C,1.8,100.00,O
C,1.6,100.00,O
C,40.0,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,1.3,100.00,O
C,9.9,100.00,O
C,217.8,100.00,O
