,demand
2014-01-01 00:00:00,24301.66666666667
2014-01-01 01:00:00,23365.33333333333
2014-01-01 02:00:00,21672.5
2014-01-01 03:00:00,20192.0
2014-01-01 04:00:00,19220.666666666668
2014-01-01 05:00:00,18954.5
2014-01-01 06:00:00,19022.0
2014-01-01 07:00:00,19295.666666666668
2014-01-01 08:00:00,19298.33333333333
2014-01-01 09:00:00,19448.33333333333
2014-01-01 10:00:00,20953.83333333333
2014-01-01 11:00:00,22293.33333333333
2014-01-01 12:00:00,23357.16666666667
2014-01-01 13:00:00,24185.5
2014-01-01 14:00:00,24522.0
2014-01-01 15:00:00,23444.83333333333
2014-01-01 16:00:00,22773.33333333333
2014-01-01 17:00:00,23365.5
2014-01-01 18:00:00,25984.0
2014-01-01 19:00:00,27048.66666666667
2014-01-01 20:00:00,27897.0
2014-01-01 21:00:00,28313.33333333333
2014-01-01 22:00:00,27845.16666666667
2014-01-01 23:00:00,25751.16666666667
2014-01-02 00:00:00,23484.0
2014-01-02 01:00:00,21268.0
2014-01-02 02:00:00,19492.666666666668
2014-01-02 03:00:00,18729.33333333333
2014-01-02 04:00:00,18535.5
2014-01-02 05:00:00,19230.33333333333
2014-01-02 06:00:00,21697.666666666668
2014-01-02 07:00:00,24964.33333333333
2014-01-02 08:00:00,27844.33333333333
2014-01-02 09:00:00,30476.16666666667
2014-01-02 10:00:00,32330.5
2014-01-02 11:00:00,32973.166666666664
2014-01-02 12:00:00,32808.833333333336
2014-01-02 13:00:00,32938.833333333336
2014-01-02 14:00:00,32139.5
2014-01-02 15:00:00,31214.83333333333
2014-01-02 16:00:00,31005.5
2014-01-02 17:00:00,31796.83333333333
2014-01-02 18:00:00,33425.333333333336
2014-01-02 19:00:00,33538.833333333336
2014-01-02 20:00:00,33373.666666666664
2014-01-02 21:00:00,33051.0
2014-01-02 22:00:00,31464.66666666667
2014-01-02 23:00:00,28814.5
2014-01-03 00:00:00,26316.5
2014-01-03 01:00:00,23940.16666666667
2014-01-03 02:00:00,22783.83333333333
2014-01-03 03:00:00,21693.5
2014-01-03 04:00:00,21482.33333333333
2014-01-03 05:00:00,21783.5
2014-01-03 06:00:00,23326.0
2014-01-03 07:00:00,26122.33333333333
2014-01-03 08:00:00,28806.5
2014-01-03 09:00:00,31012.16666666667
2014-01-03 10:00:00,32404.16666666667
2014-01-03 11:00:00,32472.5
2014-01-03 12:00:00,31851.5
2014-01-03 13:00:00,31770.66666666667
2014-01-03 14:00:00,30740.0
2014-01-03 15:00:00,29697.83333333333
2014-01-03 16:00:00,29482.33333333333
2014-01-03 17:00:00,29878.66666666667
2014-01-03 18:00:00,31697.5
2014-01-03 19:00:00,32452.0
2014-01-03 20:00:00,32481.66666666667
2014-01-03 21:00:00,32012.66666666667
2014-01-03 22:00:00,30497.16666666667
2014-01-03 23:00:00,28458.83333333333
2014-01-04 00:00:00,26518.5
2014-01-04 01:00:00,24262.66666666667
2014-01-04 02:00:00,22752.83333333333
2014-01-04 03:00:00,21756.0
2014-01-04 04:00:00,21056.166666666668
2014-01-04 05:00:00,20930.33333333333
2014-01-04 06:00:00,21419.5
2014-01-04 07:00:00,22640.83333333333
2014-01-04 08:00:00,23944.83333333333
2014-01-04 09:00:00,26123.16666666667
2014-01-04 10:00:00,29031.5
