,total energy
2014-01-01 00:00:00,27476.3
2014-01-01 01:00:00,26622.3
2014-01-01 02:00:00,27317.9
2014-01-01 03:00:00,26251.6
2014-01-01 04:00:00,26864.6
2014-01-01 05:00:00,26851.4
2014-01-01 06:00:00,26724.3
2014-01-01 07:00:00,27747.2
2014-01-01 08:00:00,28713.3
2014-01-01 09:00:00,31623.2
2014-01-01 10:00:00,33272.6
2014-01-01 11:00:00,31747.5
2014-01-01 12:00:00,32151.8
2014-01-01 13:00:00,32674.9
2014-01-01 14:00:00,33208.0
2014-01-01 15:00:00,32779.7
2014-01-01 16:00:00,32954.8
2014-01-01 17:00:00,32143.5
2014-01-01 18:00:00,33936.5
2014-01-01 19:00:00,30724.9
2014-01-01 20:00:00,26071.1
2014-01-01 21:00:00,26500.8
2014-01-01 22:00:00,31346.3
2014-01-01 23:00:00,30281.2
2014-01-02 00:00:00,29910.5
2014-01-02 01:00:00,30996.7
2014-01-02 02:00:00,28820.7
2014-01-02 03:00:00,28308.7
2014-01-02 04:00:00,28107.6
2014-01-02 05:00:00,29297.7
2014-01-02 06:00:00,31128.5
2014-01-02 07:00:00,30428.2
2014-01-02 08:00:00,32598.5
2014-01-02 09:00:00,28901.2
2014-01-02 10:00:00,31190.9
2014-01-02 11:00:00,32330.7
2014-01-02 12:00:00,32447.5
2014-01-02 13:00:00,31171.5
2014-01-02 14:00:00,30818.0
2014-01-02 15:00:00,34420.7
2014-01-02 16:00:00,34051.3
2014-01-02 17:00:00,34579.6
2014-01-02 18:00:00,32432.4
2014-01-02 19:00:00,31966.8
2014-01-02 20:00:00,31908.6
2014-01-02 21:00:00,32893.6
2014-01-02 22:00:00,31745.9
2014-01-02 23:00:00,27940.9
2014-01-03 00:00:00,30665.6
2014-01-03 01:00:00,29334.5
2014-01-03 02:00:00,31233.6
2014-01-03 03:00:00,30538.6
2014-01-03 04:00:00,30404.6
2014-01-03 05:00:00,31057.8
2014-01-03 06:00:00,30346.8
2014-01-03 07:00:00,31106.0
2014-01-03 08:00:00,33307.8
2014-01-03 09:00:00,29165.8
2014-01-03 10:00:00,30947.3
2014-01-03 11:00:00,31264.5
2014-01-03 12:00:00,31172.3
2014-01-03 13:00:00,30658.4
2014-01-03 14:00:00,29283.8
2014-01-03 15:00:00,29281.2
2014-01-03 16:00:00,28861.3
2014-01-03 17:00:00,29583.1
2014-01-03 18:00:00,30573.0
2014-01-03 19:00:00,31795.7
2014-01-03 20:00:00,32073.7
2014-01-03 21:00:00,34189.2
2014-01-03 22:00:00,32743.2
2014-01-03 23:00:00,31092.9
2014-01-04 00:00:00,27318.8
2014-01-04 01:00:00,24868.2
2014-01-04 02:00:00,32310.4
2014-01-04 03:00:00,32626.5
2014-01-04 04:00:00,32934.6
2014-01-04 05:00:00,32819.3
2014-01-04 06:00:00,33632.9
2014-01-04 07:00:00,33611.7
2014-01-04 08:00:00,34304.2
2014-01-04 09:00:00,34842.1
2014-01-04 10:00:00,36807.1
2014-01-04 11:00:00,33095.1
2014-01-04 12:00:00,34612.7
2014-01-04 13:00:00,34753.4
2014-01-04 14:00:00,34799.5
2014-01-04 15:00:00,35428.6
2014-01-04 16:00:00,37909.1
2014-01-04 17:00:00,35634.1
2014-01-04 18:00:00,29663.4
2014-01-04 19:00:00,31369.2
2014-01-04 20:00:00,32020.6
2014-01-04 21:00:00,32473.4
2014-01-04 22:00:00,30241.0
2014-01-04 23:00:00,29346.4
2014-01-05 00:00:00,33667.2
2014-01-05 01:00:00,32906.8
2014-01-05 02:00:00,34668.1
2014-01-05 03:00:00,32500.6
2014-01-05 04:00:00,33202.2
2014-01-05 05:00:00,32540.2
2014-01-05 06:00:00,32679.8
2014-01-05 07:00:00,33161.3
2014-01-05 08:00:00,32370.3
2014-01-05 09:00:00,34335.2
2014-01-05 10:00:00,34252.9
2014-01-05 11:00:00,34935.3
2014-01-05 12:00:00,36559.2
2014-01-05 13:00:00,36009.0
