compra_venta,cantidad,precio,ofertada_casada
C,40.1,180.30,O
C,14.0,180.30,O
C,4.0,180.30,O
C,72.6,180.30,O
C,164.2,180.30,O
C,0.1,180.30,O
C,4.5,180.30,O
C,1.1,180.30,O
C,8.4,180.30,O
C,10.1,180.30,O
C,28.0,180.30,O
C,3087.7,180.30,O
C,1486.0,180.30,O
C,33.3,180.30,O
C,0.9,180.30,O
C,2.4,180.30,O
C,2.7,180.30,O
C,2.1,180.30,O
C,0.1,180.30,O
C,0.5,180.30,O
C,0.2,180.30,O
C,0.7,180.30,O
C,3.1,180.30,O
C,0.5,180.30,O
C,0.3,180.30,O
C,20.8,180.30,O
C,182.4,180.30,O
C,5.4,180.30,O
C,1.1,180.30,O
C,58.9,180.30,O
C,15.0,180.30,O
C,1625.7,180.30,O
C,1171.4,180.30,O
C,2.7,180.30,O
C,73.3,180.30,O
C,1206.1,180.30,O
C,1.2,180.30,O
C,19.1,180.30,O
C,244.5,180.30,O
C,2823.7,180.30,O
C,6.5,180.30,O
C,45.5,180.30,O
C,3.7,180.30,O
C,1.8,180.30,O
C,1.0,180.30,O
C,3.5,180.30,O
C,248.8,180.00,O
C,0.1,180.00,O
C,1.4,180.00,O
C,0.9,180.00,O
C,0.3,180.00,O
C,5.3,180.00,O
C,24.5,180.00,O
C,8.0,180.00,O
C,1.0,180.00,O
C,1.3,180.00,O
C,0.3,150.00,O
C,8.1,150.00,O
C,14.0,150.00,O
C,20.9,150.00,O
C,0.8,140.00,O
C,23.7,140.00,O
C,2.8,130.00,O
C,9.5,121.06,O
C,5.4,120.00,O
C,0.7,120.00,O
C,2.9,120.00,O
C,0.9,120.00,O
C,4.4,120.00,O
C,9.2,120.00,O
C,12.7,120.00,O
C,2.6,120.00,O
C,4.0,120.00,O
C,2.4,110.00,O
C,6.9,110.00,O
C,0.9,105.00,O
C,10.6,105.00,O
C,323.3,103.54,O
C,9.4,103.10,O
C,50.0,100.86,O
C,3.2,100.00,O
C,1.9,100.00,O
C,8.7,100.00,O
C,1.4,100.00,O
C,455.0,100.00,O
C,19.1,100.00,O
C,2.4,100.00,O
C,29.4,100.00,O
C,15.6,100.00,O
C,1.9,100.00,O
C,1.4,100.00,O
C,11.2,100.00,O
C,0.5,100.00,O
C,0.6,100.00,O
C,0.5,100.00,O
C,0.9,100.00,O
C,0.5,100.00,O
C,0.8,100.00,O
C,75.6,100.00,O
C,0.4,100.00,O
C,2.9,100.00,O
C,8.8,100.00,O
C,77.0,100.00,O
C,0.9,100.00,O
C,0.5,100.00,O
C,12.2,100.00,O
C,0.1,100.00,O
C,0.9,100.00,O
C,0.9,100.00,O
C,0.2,100.00,O
C,2.3,100.00,O
C,1.2,100.00,O
C,1.2,100.00,O
C,1.6,100.00,O
C,5.6,100.00,O
C,4.5,100.00,O
C,4.8,100.00,O
C,12.2,100.00,O
C,0.7,100.00,O
C,4.3,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.3,100.00,O
C,0.1,100.00,O
C,244.9,100.00,O
C,40.0,95.86,O
C,51.6,92.00,O
C,89.0,92.00,O
C,0.4,91.05,O
C,109.6,91.03,O
C,30.0,90.86,O
C,7.2,90.01,O
C,7.0,90.01,O
C,7.8,90.01,O
C,13.4,90.00,O
C,345.8,90.00,O
C,58.0,90.00,O
C,13.4,90.00,O
C,1.1,90.00,O
C,12.1,90.00,O
C,38.7,90.00,O
C,11.0,90.00,O
C,2.8,90.00,O
C,8.7,90.00,O
C,1.6,90.00,O
C,5.1,90.00,O
C,10.0,90.00,O
C,3.6,90.00,O
C,35.6,90.00,O
C,3.3,90.00,O
C,22.8,90.00,O
C,0.2,90.00,O
C,0.6,90.00,O
C,1.6,90.00,O
C,2.2,90.00,O
C,2.9,90.00,O
C,0.1,87.09,O
C,24.0,87.06,O
C,20.0,85.86,O
C,3.0,85.00,O
C,12.2,85.00,O
C,3.1,85.00,O
C,6.5,85.00,O
C,1.3,85.00,O
C,5.4,85.00,O
C,0.2,85.00,O
C,0.3,85.00,O
C,0.1,85.00,O
C,1.1,85.00,O
C,2.2,85.00,O
C,2.9,85.00,O
C,6.9,82.00,O
C,411.0,82.00,O
C,26.1,82.00,O
C,10.0,80.86,O
C,0.3,80.01,O
C,7.3,80.01,O
C,1.7,80.01,O
C,1.4,80.01,O
C,0.3,80.01,O
C,3.6,80.01,O
C,2.1,80.01,O
C,8.8,80.01,O
C,19.5,80.01,O
C,0.7,80.01,O
C,1.5,80.00,O
C,0.1,80.00,O
C,0.9,80.00,O
C,4.1,80.00,O
C,1.0,80.00,O
C,2.1,80.00,O
C,2.5,80.00,O
C,0.5,80.00,O
C,1.7,80.00,O
C,2.5,80.00,O
C,15.9,80.00,O
C,0.3,80.00,O
C,0.7,80.00,O
C,0.4,80.00,O
C,1.4,80.00,O
C,0.4,80.00,O
C,0.3,80.00,O
C,0.9,80.00,O
C,5.8,80.00,O
C,3.9,80.00,O
C,1.3,80.00,O
C,5.2,80.00,O
C,0.4,80.00,O
C,4.4,80.00,O
C,0.1,80.00,O
C,0.2,80.00,O
C,1.1,80.00,O
C,1.6,80.00,O
C,1.7,80.00,O
C,0.7,80.00,O
C,1.1,80.00,O
C,4.8,80.00,O
C,0.5,80.00,O
C,0.8,80.00,O
C,2.6,80.00,O
C,2.9,80.00,O
C,20.4,80.00,O
C,3.5,80.00,O
C,0.8,80.00,O
C,0.3,80.00,O
C,0.5,80.00,O
C,0.5,80.00,O
C,0.8,80.00,O
C,2.5,80.00,O
C,0.1,80.00,O
C,0.1,80.00,O
C,456.4,80.00,O
C,7.1,80.00,O
C,48.8,80.00,O
C,3.2,80.00,O
C,0.2,80.00,O
C,0.1,80.00,O
C,0.1,78.00,O
C,23.9,78.00,O
C,1.3,75.00,O
C,0.2,75.00,O
C,0.3,75.00,O
C,0.3,75.00,O
C,0.1,75.00,O
C,1.1,75.00,O
C,0.9,75.00,O
C,0.2,75.00,O
C,0.5,75.00,O
C,0.3,75.00,O
C,19.0,75.00,O
C,16.8,75.00,O
C,7.6,75.00,O
C,6.1,75.00,O
C,8.3,75.00,O
C,7.6,75.00,O
C,0.1,73.00,O
C,0.1,70.00,O
C,2.3,70.00,O
C,15.3,70.00,O
C,0.5,70.00,O
C,47.0,70.00,O
C,0.7,70.00,O
C,28.9,70.00,O
C,45.4,70.00,O
C,0.1,70.00,O
C,0.1,70.00,O
C,3.4,70.00,O
C,5.9,70.00,O
C,4.5,70.00,O
C,3.5,70.00,O
C,0.6,70.00,O
C,0.2,70.00,O
C,0.8,70.00,O
C,0.2,70.00,O
C,1.2,70.00,O
C,21.4,70.00,O
C,11.1,70.00,O
C,11.7,70.00,O
C,11.4,70.00,O
C,10.1,70.00,O
C,2.8,70.00,O
C,0.4,70.00,O
C,3.5,70.00,O
C,7.2,70.00,O
C,2.0,70.00,O
C,0.2,70.00,O
C,0.2,70.00,O
C,0.1,70.00,O
C,18.3,70.00,O
C,0.9,70.00,O
C,8.8,70.00,O
C,0.8,70.00,O
C,5.0,70.00,O
C,9.9,70.00,O
C,4.9,70.00,O
C,0.3,70.00,O
C,12.8,70.00,O
C,1.2,70.00,O
C,2.3,70.00,O
C,12.6,70.00,O
C,0.3,70.00,O
C,3.2,70.00,O
C,0.5,70.00,O
C,0.5,70.00,O
C,1.7,70.00,O
C,3.0,70.00,O
C,8.2,70.00,O
C,0.5,70.00,O
C,0.3,70.00,O
C,0.1,70.00,O
C,1.5,70.00,O
C,0.1,70.00,O
C,0.2,70.00,O
C,8.0,70.00,O
C,0.7,70.00,O
C,34.0,70.00,O
C,0.1,70.00,O
C,3.7,70.00,O
C,0.3,65.00,O
C,1.3,65.00,O
C,1.0,65.00,O
C,6.9,65.00,O
