compra_venta,cantidad,precio,ofertada_casada
C,2.1,180.30,O
C,0.6,180.30,O
C,1.3,180.30,O
C,1610.8,180.30,O
C,0.8,180.30,O
C,47.1,180.30,O
C,2.0,180.30,O
C,34.7,180.30,O
C,28.1,180.30,O
C,179.9,180.30,O
C,6.3,180.30,O
C,13.7,180.30,O
C,44.0,180.30,O
C,1844.7,180.30,O
C,1.6,180.30,O
C,6.3,180.30,O
C,17.9,180.30,O
C,1.4,180.30,O
C,1.5,180.30,O
C,0.4,180.30,O
C,1.0,180.30,O
C,2.4,180.30,O
C,0.7,180.30,O
C,0.2,180.30,O
C,0.1,180.30,O
C,0.1,180.30,O
C,0.6,180.30,O
C,13.5,180.30,O
C,3.1,180.30,O
C,133.3,180.30,O
C,1.6,180.30,O
C,7.8,180.30,O
C,75.2,180.30,O
C,1776.5,180.30,O
C,804.5,180.30,O
C,176.6,180.30,O
C,1417.2,180.30,O
C,485.1,180.30,O
C,739.3,180.30,O
C,102.4,180.30,O
C,4.4,180.30,O
C,4.3,180.30,O
C,375.8,180.30,O
C,2860.6,180.30,O
C,6.5,180.30,O
C,204.4,180.30,O
C,40.5,180.30,O
C,40.5,180.30,O
C,250.0,180.30,O
C,2944.3,180.30,O
C,35.0,180.30,O
C,21.9,180.30,O
C,320.5,180.30,O
C,41.4,180.30,O
C,39.3,180.30,O
C,7.4,180.30,O
C,31.6,180.30,O
C,1.9,180.00,O
C,195.0,180.00,O
C,60.2,180.00,O
C,0.3,180.00,O
C,0.9,180.00,O
C,0.1,180.00,O
C,8.7,180.00,O
C,36.0,150.00,O
C,7.6,150.00,O
C,11.5,150.00,O
C,0.3,150.00,O
C,23.5,140.00,O
C,3.2,130.00,O
C,7.3,130.00,O
C,5.9,120.00,O
C,6.6,120.00,O
C,10.8,120.00,O
C,17.5,120.00,O
C,0.1,120.00,O
C,0.1,120.00,O
C,0.2,120.00,O
C,1.0,120.00,O
C,128.4,112.50,O
C,16.0,112.50,O
C,12.3,105.00,O
C,1.0,105.00,O
C,30.0,101.50,O
C,0.6,100.00,O
C,1.2,100.00,O
C,13.8,100.00,O
C,0.3,100.00,O
C,1.8,100.00,O
C,0.7,100.00,O
C,0.2,100.00,O
C,2.0,100.00,O
C,1.4,100.00,O
C,0.2,100.00,O
C,8.1,100.00,O
C,5.0,100.00,O
C,5.9,100.00,O
C,0.1,100.00,O
C,0.8,100.00,O
C,0.6,100.00,O
C,9.0,100.00,O
C,0.1,100.00,O
C,0.5,100.00,O
C,1.8,100.00,O
C,40.0,100.00,O
C,2.0,100.00,O
C,0.5,100.00,O
C,3.4,100.00,O
C,10.4,100.00,O
C,88.3,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,19.7,100.00,O
C,2.4,100.00,O
C,265.4,100.00,O
C,434.0,100.00,O
C,40.2,100.00,O
C,23.2,100.00,O
C,2.1,100.00,O
C,7.2,100.00,O
C,2.3,100.00,O
C,100.3,100.00,O
C,11.1,100.00,O
C,83.2,100.00,O
C,1.0,100.00,O
C,3.0,100.00,O
C,1.8,100.00,O
C,1.9,100.00,O
C,23.3,100.00,O
C,62.7,100.00,O
C,0.8,100.00,O
C,0.6,100.00,O
C,5.7,100.00,O
C,1.2,100.00,O
C,1.3,100.00,O
C,0.2,100.00,O
C,1.4,100.00,O
C,11.7,100.00,O
C,3.6,99.00,O
C,20.0,96.50,O
C,59.0,92.00,O
C,100.8,92.00,O
C,10.0,91.50,O
C,7.7,90.01,O
C,9.8,90.01,O
