compra_venta,cantidad,precio,ofertada_casada
C,3.3,180.30,O
C,1.3,180.30,O
C,36.2,180.30,O
C,4.7,180.30,O
C,26.2,180.30,O
C,147.4,180.30,O
C,14.1,180.30,O
C,10.4,180.30,O
C,1.4,180.30,O
C,2.0,180.30,O
C,353.7,180.30,O
C,0.9,180.30,O
C,0.6,180.30,O
C,1.2,180.30,O
C,5.5,180.30,O
C,65.5,180.30,O
C,987.3,180.30,O
C,882.2,180.30,O
C,2824.8,180.30,O
C,24.0,180.30,O
C,0.6,180.30,O
C,966.3,180.30,O
C,657.2,180.30,O
C,295.0,180.30,O
C,126.6,180.30,O
C,1.0,180.30,O
C,6.3,180.30,O
C,54.2,180.30,O
C,193.0,180.30,O
C,1202.5,180.30,O
C,662.1,180.30,O
C,7.2,180.30,O
C,2806.4,180.30,O
C,350.1,180.30,O
C,2296.8,180.30,O
C,0.3,180.30,O
C,8.9,180.30,O
C,36.6,180.30,O
C,0.2,180.30,O
C,15.4,180.30,O
C,30.2,180.30,O
C,55.0,180.30,O
C,7.8,180.30,O
C,15.4,180.30,O
C,2.0,180.30,O
C,0.6,180.30,O
C,29.6,180.30,O
C,1.8,180.00,O
C,2.4,180.00,O
C,0.1,180.00,O
C,1.3,180.00,O
C,0.3,180.00,O
C,3.4,180.00,O
C,46.0,180.00,O
C,6.9,180.00,O
C,0.5,180.00,O
C,2.8,180.00,O
C,3.4,180.00,O
C,2.4,180.00,O
C,0.9,180.00,O
C,27.0,180.00,O
C,5.3,180.00,O
C,5.0,180.00,O
C,0.6,180.00,O
C,1.1,180.00,O
C,276.0,180.00,O
C,33.4,180.00,O
C,177.1,180.00,O
C,0.2,180.00,O
C,0.1,153.13,O
C,1.0,153.13,O
C,0.6,153.13,O
C,2.3,153.13,O
C,0.2,153.13,O
C,15.7,153.13,O
C,0.3,153.13,O
C,0.6,153.13,O
C,0.4,153.13,O
C,3.0,153.13,O
C,168.4,153.13,O
C,0.1,153.13,O
C,51.8,150.00,O
C,1.0,150.00,O
C,0.2,150.00,O
C,1.2,150.00,O
C,5.4,150.00,O
C,0.1,150.00,O
C,7.7,150.00,O
C,0.6,150.00,O
C,32.1,150.00,O
C,6.5,150.00,O
C,9.2,150.00,O
C,0.2,150.00,O
C,2.5,150.00,O
C,1.1,150.00,O
C,0.1,150.00,O
C,0.2,150.00,O
C,208.5,150.00,O
C,79.4,140.00,O
C,12.9,140.00,O
C,24.3,140.00,O
C,26.1,140.00,O
C,1.2,135.00,O
C,1.6,135.00,O
C,0.2,135.00,O
C,1.5,135.00,O
C,0.4,135.00,O
C,12.4,131.00,O
C,13.1,130.00,O
C,4.5,130.00,O
C,32.9,130.00,O
C,2.0,130.00,O
C,0.4,130.00,O
C,485.4,127.85,O
C,198.4,127.85,O
C,50.0,126.85,O
C,2.8,125.00,O
C,1.0,125.00,O
C,0.1,125.00,O
C,40.0,121.85,O
C,23.2,120.00,O
C,0.3,120.00,O
C,44.7,120.00,O
C,1.9,120.00,O
C,0.2,120.00,O
C,0.9,120.00,O
C,1.3,120.00,O
C,2.3,120.00,O
C,6.5,120.00,O
C,5.7,120.00,O
C,0.4,120.00,O
C,14.7,120.00,O
C,29.3,120.00,O
C,0.1,120.00,O
C,0.5,120.00,O
C,0.2,120.00,O
C,0.6,120.00,O
C,8.7,120.00,O
C,15.5,120.00,O
C,10.6,120.00,O
C,7.2,120.00,O
C,65.8,120.00,O
C,163.8,120.00,O
C,0.2,120.00,O
C,4.0,120.00,O
C,1.2,120.00,O
C,2.0,120.00,O
C,0.2,120.00,O
C,1.6,120.00,O
C,0.4,120.00,O
C,0.5,120.00,O
C,8.4,120.00,O
C,0.2,120.00,O
C,1.8,120.00,O
C,0.2,120.00,O
C,0.8,120.00,O
C,0.2,120.00,O
C,10.1,120.00,O
C,8.8,120.00,O
C,8.9,120.00,O
C,6.1,120.00,O
C,2.1,120.00,O
C,30.0,116.85,O
C,1.6,116.00,O
C,6.0,115.00,O
C,3.2,115.00,O
C,20.0,111.85,O
C,5.0,110.01,O
C,6.0,110.01,O
C,1.7,110.01,O
C,3.1,110.01,O
C,11.1,110.01,O
C,3.6,110.01,O
C,3.1,110.01,O
C,4.3,110.01,O
C,1.1,110.01,O
C,12.9,110.01,O
C,11.5,110.01,O
C,0.3,110.01,O
C,0.4,110.01,O
C,0.7,110.01,O
C,5.6,110.01,O
C,8.5,110.01,O
C,0.2,110.01,O
C,7.3,110.01,O
C,6.0,110.00,O
C,8.5,110.00,O
C,0.7,110.00,O
C,50.8,110.00,O
C,69.3,110.00,O
C,2.7,110.00,O
C,16.6,110.00,O
C,0.2,110.00,O
C,0.1,110.00,O
C,0.1,110.00,O
C,11.6,110.00,O
C,4.0,110.00,O
C,10.0,106.85,O
C,9.9,105.00,O
C,0.6,105.00,O
C,0.8,105.00,O
C,0.2,100.00,O
C,4.6,100.00,O
C,0.8,100.00,O
C,1.1,100.00,O
C,1.3,100.00,O
C,1.7,100.00,O
C,2.8,100.00,O
C,0.2,100.00,O
C,0.9,100.00,O
C,15.5,100.00,O
C,1.2,100.00,O
C,20.5,100.00,O
C,5.6,100.00,O
C,6.2,100.00,O
C,4.6,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.1,100.00,O
C,0.3,100.00,O
C,0.3,100.00,O
C,1.4,100.00,O
C,2.8,100.00,O
C,6.3,100.00,O
C,1.2,100.00,O
C,12.5,100.00,O
C,4.5,100.00,O
C,4.0,100.00,O
C,91.2,100.00,O
C,0.7,100.00,O
C,9.4,100.00,O
C,0.4,100.00,O
C,0.9,100.00,O
C,2.2,100.00,O
C,18.9,100.00,O
C,44.5,100.00,O
C,41.0,100.00,O
C,24.4,100.00,O
C,12.3,100.00,O
C,75.3,100.00,O
C,42.5,100.00,O
C,116.8,100.00,O
C,719.0,100.00,O
C,0.2,100.00,O
C,28.1,100.00,O
C,1.6,100.00,O
C,20.0,100.00,O
C,1.2,100.00,O
C,10.2,100.00,O
C,77.8,100.00,O
C,2.2,100.00,O
C,24.8,100.00,O
C,15.4,100.00,O
C,18.0,100.00,O
C,19.5,100.00,O
C,1.3,100.00,O
C,2.3,100.00,O
C,1.1,100.00,O
C,0.2,100.00,O
C,3.4,100.00,O
C,28.9,100.00,O
C,1.5,100.00,O
C,1.9,100.00,O
C,0.1,100.00,O
C,2.3,100.00,O
C,2.4,100.00,O
C,16.8,99.00,O
C,11.8,99.00,O
C,3.3,99.00,O
C,3.1,99.00,O
C,10.7,95.00,O
C,3.1,95.00,O
C,0.7,90.00,O
C,139.0,90.00,O
C,3.9,90.00,O
C,4.3,90.00,O
C,5.4,90.00,O
C,2.3,90.00,O
C,16.2,90.00,O
C,13.3,90.00,O
C,8.8,90.00,O
C,11.7,90.00,O
C,8.5,90.00,O
C,4.9,90.00,O
C,1.1,90.00,O
C,2.1,90.00,O
C,2.8,90.00,O
C,11.5,90.00,O
C,6.9,90.00,O
C,3.5,90.00,O
C,2.1,90.00,O
C,1.1,90.00,O
C,0.1,90.00,O
C,3.7,90.00,O
C,0.3,90.00,O
C,0.6,90.00,O
C,0.7,90.00,O
C,0.7,90.00,O
C,0.2,87.08,O
C,36.0,87.07,O
C,42.7,85.00,O
C,12.4,85.00,O
C,1.1,85.00,O
C,1.1,85.00,O
C,0.5,85.00,O
C,0.5,85.00,O
C,0.3,85.00,O
C,7.3,85.00,O
C,0.7,85.00,O
C,0.6,85.00,O
C,0.2,85.00,O
C,1.3,85.00,O
C,1.1,85.00,O
C,1.3,85.00,O
C,3.6,85.00,O
C,1.4,85.00,O
C,0.5,85.00,O
C,0.2,85.00,O
C,0.9,85.00,O
C,0.9,85.00,O
C,0.5,80.01,O
C,0.8,80.00,O
C,6.7,80.00,O
C,1.1,80.00,O
C,0.6,80.00,O
C,0.3,80.00,O
C,3.3,80.00,O
C,1.3,80.00,O
C,1.0,80.00,O
C,0.5,80.00,O
C,8.0,80.00,O
C,7.7,80.00,O
C,4.6,80.00,O
C,0.3,80.00,O
C,0.2,80.00,O
C,0.6,80.00,O
C,0.3,80.00,O
C,0.1,80.00,O
C,9.4,80.00,O
C,0.1,80.00,O
C,8.7,80.00,O
C,320.7,80.00,O
C,1.9,80.00,O
C,34.2,80.00,O
C,18.4,80.00,O
C,0.5,80.00,O
C,1.3,80.00,O
C,0.3,80.00,O
C,7.5,80.00,O
C,4.3,80.00,O
C,2.9,80.00,O
C,7.3,80.00,O
C,1.1,80.00,O
C,0.4,80.00,O
C,2.5,80.00,O
C,0.8,80.00,O
C,1.4,80.00,O
C,16.8,80.00,O
C,3.7,80.00,O
C,1.5,80.00,O
C,7.7,80.00,O
C,0.1,80.00,O
C,0.5,80.00,O
C,2.0,80.00,O
C,0.3,80.00,O
C,0.1,80.00,O
C,6.9,80.00,O
C,1.8,80.00,O
C,1.4,80.00,O
C,3.8,80.00,O
C,0.1,80.00,O
C,0.6,80.00,O
C,0.1,80.00,O
C,0.1,80.00,O
C,9.0,80.00,O
C,1.3,80.00,O
C,0.6,80.00,O
C,0.6,80.00,O
C,0.6,80.00,O
C,1.0,80.00,O
C,1.2,80.00,O
C,0.3,80.00,O
C,0.2,80.00,O
C,0.6,80.00,O
C,0.2,80.00,O
C,0.2,80.00,O
C,0.6,80.00,O
C,1.4,80.00,O
C,0.2,80.00,O
C,0.5,80.00,O
C,4.3,80.00,O
C,10.2,80.00,O
C,9.7,80.00,O
C,41.9,80.00,O
C,16.5,80.00,O
C,2.9,80.00,O
C,49.1,80.00,O
C,0.3,80.00,O
C,0.1,80.00,O
C,0.8,80.00,O
C,0.2,80.00,O
C,34.8,80.00,O
C,6.0,80.00,O
C,8.1,80.00,O
C,0.3,80.00,O
C,1.1,80.00,O
C,4.9,80.00,O
C,10.5,80.00,O
C,2.5,80.00,O
C,0.9,80.00,O
C,0.9,80.00,O
C,1.2,80.00,O
C,0.8,75.00,O
C,0.5,75.00,O
C,0.7,75.00,O
C,14.8,75.00,O
C,7.6,75.00,O
C,4.2,75.00,O
C,0.7,75.00,O
C,16.0,75.00,O
C,3.4,75.00,O
C,2.3,75.00,O
C,0.8,75.00,O
C,0.3,75.00,O
C,17.5,75.00,O
C,0.3,75.00,O
C,39.2,75.00,O
C,0.1,75.00,O
C,0.3,75.00,O
C,3.0,75.00,O
C,67.5,75.00,O
C,1.3,75.00,O
C,2.0,75.00,O
C,0.1,71.73,O
C,11.9,71.73,O
C,4.3,71.73,O
C,1.7,71.73,O
C,2.1,70.00,O
C,2.7,70.00,O
C,8.9,70.00,O
C,25.7,70.00,O
C,0.7,70.00,O
C,0.8,70.00,O
C,5.2,70.00,O
C,1.0,67.40,O
C,15.9,65.00,O
C,0.5,65.00,O
C,337.2,65.00,O
C,146.1,65.00,O
C,1.0,64.40,O
C,20.0,63.49,O
C,137.9,60.30,O
C,3.3,60.00,O
C,20.0,59.49,O
C,1.2,58.00,O
C,30.8,58.00,O
C,15.0,55.49,O
C,0.8,55.00,O
C,10.0,54.13,O
C,10.0,53.63,O
C,10.0,53.13,O
C,10.0,52.63,O
C,10.0,52.13,O
C,10.0,51.63,O
C,10.0,51.13,O
C,10.0,50.63,O
C,15.0,50.49,O
C,10.0,50.13,O
C,4.0,50.00,O
C,0.6,50.00,O
C,10.0,49.63,O
C,15.4,49.00,O
C,10.0,48.63,O
C,20.8,48.54,O
C,8.9,48.54,O
C,10.0,48.13,O
C,20.0,48.01,O
C,16.1,48.00,O
C,10.0,47.63,O
C,10.0,47.13,O
C,0.2,46.73,O
C,10.0,46.63,O
C,10.0,46.13,O
C,16.1,46.00,O
C,10.0,45.63,O
C,15.0,45.49,O
C,10.0,45.13,O
C,13.7,45.00,O
C,10.0,44.63,O
C,10.0,44.13,O
C,20.0,44.01,O
C,15.9,44.00,O
C,10.0,43.63,O
C,10.0,43.13,O
C,10.0,42.63,O
C,20.0,42.01,O
C,3.5,42.00,O
C,4.7,42.00,O
C,16.3,42.00,O
C,16.2,42.00,O
C,5.1,42.00,O
C,25.0,40.01,O
C,5.0,40.00,O
C,16.1,40.00,O
C,15.0,37.49,O
C,40.0,35.20,O
C,9.4,34.00,O
C,8.1,31.00,O
C,0.1,30.00,O
C,74.0,28.73,O
C,353.0,28.49,O
C,115.0,28.48,O
C,207.0,28.05,O
C,6.1,28.00,O
C,115.0,27.93,O
C,75.0,27.42,O
C,18.0,27.40,O
C,115.0,27.38,O
C,138.0,27.00,O
C,115.0,26.83,O
C,78.0,26.00,O
C,138.0,25.80,O
C,4.0,25.00,O
C,72.0,25.00,O
C,138.0,24.60,O
C,90.0,24.45,O
C,75.0,24.42,O
C,18.0,24.40,O
C,138.0,23.40,O
C,72.0,23.00,O
C,353.0,22.14,O
C,190.0,22.00,O
C,73.0,22.00,O
C,73.0,21.99,O
C,190.0,21.90,O
C,205.0,21.70,O
C,205.0,21.60,O
C,138.0,21.50,O
C,205.0,21.40,O
C,205.0,21.20,O
C,22.8,20.00,O
C,6.3,20.00,O
C,8.3,20.00,O
C,22.0,20.00,O
C,1.0,20.00,O
C,31.5,19.55,O
C,30.5,19.33,O
C,90.0,19.10,O
C,68.0,18.00,O
C,126.5,17.92,O
C,30.0,15.00,O
C,126.5,14.42,O
C,90.0,14.10,O
C,18.0,14.00,O
C,18.0,13.80,O
C,18.0,13.50,O
C,115.0,11.00,O
C,4.7,10.00,O
C,11.2,10.00,O
C,12.8,10.00,O
C,87.0,8.10,O
C,87.0,6.10,O
C,18.4,5.00,O
C,200.0,5.00,O
C,34.9,5.00,O
C,86.0,3.10,O
C,52.0,1.13,O
C,49.9,1.11,O
C,0.1,1.00,O
C,11.4,1.00,O
C,1.0,1.00,O
C,5.7,1.00,O
C,53.0,0.90,O
C,39.9,0.61,O
C,24.0,0.21,O
C,85.0,0.10,O
C,16.3,0.10,O
C,27.2,0.02,O
C,53.0,0.01,O
C,108.6,0.01,O
C,72.0,0.01,O
C,5.0,0.01,O
C,15.0,0,O
C,1.0,0,O
C,68.0,0,O
C,150.0,0,O
C,0.1,0,O
C,0.4,0,O
C,0.5,0,O
C,17.0,0,O
C,0.2,0,O
C,0.2,0,O
C,4574.5,0,O
C,0.5,0,O
C,4784.8,0,O
C,20.0,0,O
C,20.0,0,O
C,20.0,0,O
C,0.1,0,O
C,0.1,0,O
C,0.1,0,O
C,110.4,0,O
V,0.3,0,O
V,4.6,0,O
V,27.3,0,O
V,1.6,0,O
V,0.2,0,O
V,1.0,0,O
V,0.3,0,O
V,1.4,0,O
V,1.0,0,O
V,4.3,0,O
V,1.9,0,O
V,1.5,0,O
V,2.4,0,O
V,2.8,0,O
V,0.8,0,O
V,0.3,0,O
V,16.3,0,O
V,34.5,0,O
V,14.4,0,O
V,11.2,0,O
V,7.5,0,O
V,6.5,0,O
V,162.9,0,O
V,50.9,0,O
V,1000.0,0,O
V,27.0,0,O
V,2.0,0,O
V,11.4,0,O
V,33.1,0,O
V,15.5,0,O
V,34.5,0,O
V,320.9,0,O
V,16.8,0,O
V,45.5,0,O
V,21.0,0,O
V,1.2,0,O
V,5.0,0,O
V,3.1,0,O
V,4.6,0,O
V,2.2,0,O
V,4.2,0,O
V,0.4,0,O
V,4.9,0,O
V,0.7,0,O
V,0.2,0,O
V,1.0,0,O
V,1.2,0,O
V,1.6,0,O
V,0.4,0,O
V,0.4,0,O
V,0.2,0,O
V,5.0,0,O
V,1.3,0,O
V,14.6,0,O
V,2.0,0,O
V,17.5,0,O
V,21.3,0,O
V,7.0,0,O
V,24.9,0,O
V,67.8,0,O
V,9.6,0,O
V,39.8,0,O
V,8.0,0,O
V,11.6,0,O
V,2.0,0,O
V,10.0,0,O
V,7.3,0,O
V,12.8,0,O
V,9.8,0,O
V,24.9,0,O
V,16.5,0,O
V,7.6,0,O
V,13.8,0,O
V,9.0,0,O
V,16.4,0,O
V,13.0,0,O
V,10.8,0,O
V,0.5,0,O
V,1.4,0,O
V,14.5,0,O
V,42.0,0,O
V,19.0,0,O
V,42.2,0,O
V,82.8,0,O
V,4.6,0,O
V,94.0,0,O
V,467.3,0,O
V,329.5,0,O
V,10.0,0,O
V,10.2,0,O
V,90.2,0,O
V,4.5,0,O
V,4.5,0,O
V,6.1,0,O
V,17.0,0,O
V,4.4,0,O
V,2.7,0,O
V,7.1,0,O
V,0.3,0,O
V,1.5,0,O
V,4.5,0,O
V,0.6,0,O
V,1.1,0,O
V,1.8,0,O
V,12.4,0,O
V,2.6,0,O
V,9.0,0,O
V,0.4,0,O
V,2.0,0,O
V,1.9,0,O
V,1.9,0,O
V,1.0,0,O
V,3.5,0,O
V,3.1,0,O
V,3.0,0,O
V,21.1,0,O
V,0.1,0,O
V,9.0,0,O
V,0.1,0,O
V,0.4,0,O
V,6.0,0,O
V,1.8,0,O
V,0.8,0,O
V,1.1,0,O
V,2.2,0,O
V,4.7,0,O
V,5.0,0,O
V,0.3,0,O
V,4.6,0,O
V,9.8,0,O
V,0.3,0,O
V,0.5,0,O
V,2.7,0,O
V,3.8,0,O
V,1.5,0,O
V,39.0,0,O
V,14.6,0,O
V,1.5,0,O
V,2.6,0,O
V,2.1,0,O
V,0.3,0,O
V,10.8,0,O
