,solar
2014-01-01 00:00:00,0.156
2014-01-01 01:00:00,0.14300000000000002
2014-01-01 02:00:00,0.159
2014-01-01 03:00:00,0.16
2014-01-01 04:00:00,0.141
2014-01-01 05:00:00,0.16699999999999998
2014-01-01 06:00:00,0.16
2014-01-01 07:00:00,1.311
2014-01-01 08:00:00,15.071
2014-01-01 09:00:00,321.64799999999997
2014-01-01 10:00:00,825.8939999999999
2014-01-01 11:00:00,1244.9489999999998
2014-01-01 12:00:00,1450.158
2014-01-01 13:00:00,1393.92
2014-01-01 14:00:00,1084.846
2014-01-01 15:00:00,650.8969999999999
2014-01-01 16:00:00,238.03900000000002
2014-01-01 17:00:00,40.271
2014-01-01 18:00:00,1.087
2014-01-01 19:00:00,0.166
2014-01-01 20:00:00,0.163
2014-01-01 21:00:00,0.131
2014-01-01 22:00:00,0.149
2014-01-01 23:00:00,0.14400000000000002
2014-01-02 00:00:00,0.153
2014-01-02 01:00:00,0.142
2014-01-02 02:00:00,0.154
2014-01-02 03:00:00,0.168
2014-01-02 04:00:00,0.151
2014-01-02 05:00:00,0.141
2014-01-02 06:00:00,0.16
2014-01-02 07:00:00,1.308
2014-01-02 08:00:00,6.678
2014-01-02 09:00:00,86.05
2014-01-02 10:00:00,279.688
2014-01-02 11:00:00,466.00300000000004
2014-01-02 12:00:00,557.691
2014-01-02 13:00:00,609.243
2014-01-02 14:00:00,518.331
2014-01-02 15:00:00,375.79400000000004
2014-01-02 16:00:00,197.80599999999998
2014-01-02 17:00:00,41.136
2014-01-02 18:00:00,12.298
2014-01-02 19:00:00,11.12
2014-01-02 20:00:00,11.273
2014-01-02 21:00:00,4.457
2014-01-02 22:00:00,0.982
2014-01-02 23:00:00,0.152
2014-01-03 00:00:00,0.155
2014-01-03 01:00:00,0.145
2014-01-03 02:00:00,0.138
2014-01-03 03:00:00,0.15
2014-01-03 04:00:00,0.156
2014-01-03 05:00:00,0.14400000000000002
2014-01-03 06:00:00,1.297
2014-01-03 07:00:00,20.44
2014-01-03 08:00:00,32.114000000000004
2014-01-03 09:00:00,289.264
2014-01-03 10:00:00,869.857
2014-01-03 11:00:00,1357.405
2014-01-03 12:00:00,1515.37
2014-01-03 13:00:00,1461.524
2014-01-03 14:00:00,1337.2060000000001
2014-01-03 15:00:00,1061.111
2014-01-03 16:00:00,660.615
2014-01-03 17:00:00,202.766
2014-01-03 18:00:00,29.601
2014-01-03 19:00:00,11.865
2014-01-03 20:00:00,11.602
2014-01-03 21:00:00,12.241
2014-01-03 22:00:00,12.315999999999999
2014-01-03 23:00:00,7.681
2014-01-04 00:00:00,0.588
2014-01-04 01:00:00,0.122
2014-01-04 02:00:00,0.138
2014-01-04 03:00:00,0.128
2014-01-04 04:00:00,0.145
2014-01-04 05:00:00,0.142
2014-01-04 06:00:00,0.149
2014-01-04 07:00:00,1.321
2014-01-04 08:00:00,10.538
2014-01-04 09:00:00,280.605
2014-01-04 10:00:00,878.7289999999999
2014-01-04 11:00:00,1395.2620000000002
2014-01-04 12:00:00,1521.645
2014-01-04 13:00:00,1481.144
2014-01-04 14:00:00,1337.6629999999998
2014-01-04 15:00:00,987.321
2014-01-04 16:00:00,562.964
2014-01-04 17:00:00,124.464
